"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cell_type"
"Csf1r",0.00299006258446897,6.11996749859931,0.083,0.204,1,"Astrocytes"
"Pld4",0.196184825050707,5.82715184574118,0.064,0.103,1,"Astrocytes"
"Tmem119",0.0111365507161377,5.78791315032502,0.051,0.134,1,"Astrocytes"
"Capg",0.242672398782732,5.5056141953444,0.071,0.109,1,"Astrocytes"
"Rragd",0.000154609634031586,-5.20946485631896,0.013,0.112,1,"Astrocytes"
"Gpr34",0.0821086488187164,5.11535797275214,0.051,0.103,1,"Astrocytes"
"Coro1a",0.0317626299153606,4.92218020522057,0.077,0.156,1,"Astrocytes"
"Fcrls",0.0901983673225739,4.80015003008035,0.058,0.112,1,"Astrocytes"
"Selplg",0.000184884187357351,4.74721112924593,0.109,0.279,1,"Astrocytes"
"Laptm5",3.50925774947886e-05,4.66751584504681,0.096,0.288,0.805936134745314,"Astrocytes"
"Pcdhgc5",5.01191633970355e-05,-4.57400218053217,0.013,0.123,1,"Astrocytes"
"Lnp",0.00133217095619728,-4.51848804314178,0.045,0.137,1,"Astrocytes"
"Nedd9",0.00261002022614409,-4.321302043035,0.026,0.103,1,"Astrocytes"
"Ptpn6",0.00968343417480847,4.30922692932941,0.038,0.115,1,"Astrocytes"
"Rac2",0.0268807436889774,4.30376039378106,0.051,0.12,1,"Astrocytes"
"C1qa",0.367767572422448,4.26933180621617,0.103,0.14,1,"Astrocytes"
"Psmb8",0.367053439206756,4.17811713033353,0.109,0.089,1,"Astrocytes"
"Gpr137b",0.0280886078861495,-4.17802260624565,0.045,0.101,1,"Astrocytes"
"Epha5",0.00372891044290676,-4.158829689226,0.038,0.117,1,"Astrocytes"
"Unc93b1",0.236846286360557,4.15657108328842,0.083,0.126,1,"Astrocytes"
"Cx3cr1",0.0937167113409959,4.12271971708151,0.064,0.12,1,"Astrocytes"
"C1qc",0.22105758181321,4.07138626631495,0.103,0.151,1,"Astrocytes"
"Sarnp",0.240444428947709,4.04228870071212,0.218,0.299,1,"Astrocytes"
"Nckap5",0.00656882737957996,-4.03995147961445,0.038,0.112,1,"Astrocytes"
"Pnpt1",0.000412662247542612,-4.0152171692003,0.013,0.101,1,"Astrocytes"
"Trim41",0.0143918008567208,-3.99848070491532,0.051,0.12,1,"Astrocytes"
"Ctss",0.0399133401996319,3.9965195509786,0.122,0.218,1,"Astrocytes"
"Suox",0.00191140492011181,-3.91705612003036,0.026,0.106,1,"Astrocytes"
