"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.53133108235188,0.472,0.154,0,"0","Upk1b"
0,1.42791132819752,0.966,0.514,0,"0","Fcrls"
0,1.36811213368222,0.931,0.443,0,"0","Slc2a5"
0,1.28697920385997,0.999,0.618,0,"0","P2ry12"
0,1.26896295990776,0.968,0.518,0,"0","P2ry13"
0,1.26451869319307,0.51,0.221,0,"0","Lrba"
0,1.16872710603495,0.94,0.496,0,"0","Ptgs1"
0,1.15520655269362,0.635,0.279,0,"0","Fam102b"
1.70063485616468e-215,1.1528333847771,0.335,0.132,3.9056780106678e-211,"0","1810011H11Rik"
0,1.14912125016126,0.988,0.577,0,"0","Gpr34"
5.78873716514089e-27,1.10244794545975,0.305,0.234,1.32944137734626e-22,"1","Slamf9"
7.94456433208885e-13,1.06183952179113,0.324,0.293,1.82454864450753e-08,"1","E330020D12Rik"
1.78078843227513e-12,1.02821112132057,0.279,0.232,4.08975871356307e-08,"1","Gm5086"
1.43642684580825e-28,1.01984371651751,0.633,0.615,3.29889789408322e-24,"1","Rbm26"
1.01096364300774e-148,0.974347001963204,0.812,0.647,2.32177910253157e-144,"1","Basp1"
3.3447817314812e-22,0.956207205730038,0.408,0.358,7.68162572451972e-18,"1","Ifi30"
2.22763405904039e-53,0.934217454736418,0.562,0.445,5.11598437999216e-49,"1","Gpr77"
2.23510244562957e-07,0.925018327432538,0.375,0.345,0.00513313627663287,"1","Pou2f2"
6.05186906583014e-06,0.897690634533874,0.327,0.306,0.138987224965855,"1","Col27a1"
3.02703033777775e-12,0.892432828712185,0.681,0.67,6.95187787374039e-08,"1","Ncoa3"
0,12.5275963369493,0.285,0.003,0,"2","Slc38a5"
0,11.2084793301429,0.658,0.016,0,"2","Sox18"
0,10.8266582443125,0.996,0.091,0,"2","Ly6c1"
0,10.822819744999,0.51,0.007,0,"2","E030010A14Rik"
0,10.8158005831959,0.37,0.002,0,"2","Kif26a"
0,10.794155788322,0.301,0.003,0,"2","Edn3"
0,10.7523963921362,0.527,0.006,0,"2","AU021092"
0,10.7363631617395,0.324,0.002,0,"2","Car5a"
0,10.5639218980761,0.992,0.048,0,"2","Cldn5"
0,10.5584662640357,0.301,0.002,0,"2","Cyyr1"
2.49160869874985e-110,2.83124989541518,0.318,0.107,5.72222853754889e-106,"3","Hist2h2aa1"
0,2.75825444763084,0.833,0.181,0,"3","Egr1"
